Recipe	Batch Size	Ingredient	Quantity (kg)	Step / Section	Process Notes
Mixed Nuts = 400kg	400 kg	Cashews Int	27.5	NOTE: Doing this 4 times helps with proper mixing in the basin	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: Bucket into 20ltr buckets | In a large tub, weigh the following ingredients and place in basin to mix. | Mix all dry ingredients with hands (wearing gloves) untill all product is mixed well and even. | Once all ingredients are mixed well, fill 20ltr white buckets and place lid ontop | Date the lid with the date of manufacturing
Mixed Nuts = 400kg	400 kg	Macadamias	5.0	NOTE: Doing this 4 times helps with proper mixing in the basin	
Mixed Nuts = 400kg	400 kg	Brazil nuts Int.	11.25	NOTE: Doing this 4 times helps with proper mixing in the basin	
Mixed Nuts = 400kg	400 kg	Pecans Int.	10.0	NOTE: Doing this 4 times helps with proper mixing in the basin	
Mixed Nuts = 400kg	400 kg	Walnuts Int.	20.0	NOTE: Doing this 4 times helps with proper mixing in the basin	
Mixed Nuts = 400kg	400 kg	Almonds B Int.	26.5	NOTE: Doing this 4 times helps with proper mixing in the basin	
Cacao Recipe = 180kg	180 kg	Coconut chips	12.5	Prepare 4 tubs on kitchen scales (2- Clustered, 2- Unclustered), add into each and mix the following	Assembly: Dry Ingredients; Wet ingredients; Mix | Cooking: Sweetner; Cooking in oven; Laying on oven trays | Bucketing: Includes dusting ingredients after cooking process; Bucketing with Silica | MIx ingredients well until the coconut chips are covered all over (no white bits of the coconut to be seen) | Tip contents of Clustered tubs into seperate stainless basins and follow the proceding steps | 1. HEAT for 7 mins at 3000, ( until it bubbles) | 2. Tip clustered tubs into 2 silver basins and mix | 3. Mix Honey into each clustered basins  THOROUGHLY | 3. Scoop Clustered batch with a 5LTR measuring jug onto oven trays, spread evenly | 4. Cook in oven on 140*C for 30 minutes at %60 fan function, repeat process until all Clustered batch is cooked | 5. Set up 4 tubs on kitchen scales, divide cooked Clustered batch evenly into 4 tubs | 6. Tip contents of Unclustered tubs into seperate stainless basins to mix the following | 1. HEAT Honey for 4 mins at 3000W ( until honey bubbles for 10 secs) | 2. HEAT Coconut oil for approx 10 mins at 400W (until liquid) | 3. Mix both honey and coconut oil into unclustered tub THOROUGHLY | 4. Scoop Unclustered batch with a 3.5LTR measuring jug onto oven trays evenly | 5. Cook in oven on 135*C for 30 minutes, %60 fan function, repeat process until all Unclustered batch is cooked | 6. Divide Unclustered batch evenly into the 4 tubs of the clustered batch | MIX well, then using a large scoop, fill approx 17 buckets (Silica on the top of bucket), place lid on tightly, write product and date on bucket lid
Cacao Recipe = 180kg	180 kg	Cacao Powder	0.75	Prepare 4 tubs on kitchen scales (2- Clustered, 2- Unclustered), add into each and mix the following	
Cacao Recipe = 180kg	180 kg	Ginger  powder	0.4	Prepare 4 tubs on kitchen scales (2- Clustered, 2- Unclustered), add into each and mix the following	
Cacao Recipe = 180kg	180 kg	Cinnamon  powder	0.3	Prepare 4 tubs on kitchen scales (2- Clustered, 2- Unclustered), add into each and mix the following	
Cacao Recipe = 180kg	180 kg	Raw Pepita	2.15	Add to tubs	
Cacao Recipe = 180kg	180 kg	Activated Sunflower	8.0	Add to tubs	
Cacao Recipe = 180kg	180 kg	Cacao Nibs	3.0	Add to tubs	
Cacao Recipe = 180kg	180 kg	Tulsi	0.1	Add to tubs	
Cacao Recipe = 180kg	180 kg	Gotu Kola	0.1	Add to tubs	
Cacao Recipe = 180kg	180 kg	Brahmi	0.1	Add to tubs	
Cacao Recipe = 180kg	180 kg	Activated Buckwheat	12.0	Add to tubs	
Cacao Recipe = 180kg	180 kg	Honey	5.0	Add into 2 silver cooking pots -	
